method	contrast	effect_direction	ontology	GO_ID	term_label	term_clean	pvalue	p_adjust	qvalue	count	effect	signed_effect	primary_category	category_label
GSEA	P_OL_vs_N_OD	NES_positive	BP	GO:0010718	BP: positive regulation of epithelial to mesenchymal transition	positive regulation of epithelial to mesenchymal transition	4.59654816764819e-11	1.04801298222379e-07	8.76247234906408e-08	46	2.67827452501872		epidermis_epitelio	Epidermis/epitelio
GSEA	P_OL_vs_N_OD	NES_positive	BP	GO:0002040	BP: sprouting angiogenesis	sprouting angiogenesis	9.58692745619788e-10	1.09290973000656e-06	9.1378555911444e-07	100	2.38129287856874		other	Otros
GSEA	P_OL_vs_N_OD	NES_positive	BP	GO:0001570	BP: vasculogenesis	vasculogenesis	1.84457394678302e-09	1.4018761995551e-06	1.17211347986809e-06	82	2.41786225714108		other	Otros
GSEA	P_OL_vs_N_OD	NES_positive	BP	GO:0007275	BP: multicellular organism development	multicellular organism development	3.37535545809782e-09	1.7782137511329e-06	1.48677059247538e-06	216	1.96830482493786		desarrollo_morfogenesis	Desarrollo/morfogenesis
GSEA	P_OL_vs_N_OD	NES_positive	BP	GO:0001525	BP: angiogenesis	angiogenesis	3.89959155950197e-09	1.7782137511329e-06	1.48677059247538e-06	244	1.94970200096777		other	Otros
GSEA	P_OL_vs_N_OD	NES_negative	BP	GO:0045087	BP: innate immune response	innate immune response	6.15904134140093e-09	2.34043570973235e-06	1.95684629285563e-06	104	-2.18771629856415		inmunidad_inflamacion	Inmunidad/inflamacion
GSEA	P_OL_vs_N_OD	NES_positive	BP	GO:0030199	BP: collagen fibril organization	collagen fibril organization	3.27241427635286e-08	9.32638068760564e-06	7.79781875588819e-06	59	2.38503049908738		matriz_adhesion	Matriz extracelular/adhesion
GSEA	P_OL_vs_N_OD	NES_positive	BP	GO:0016055	BP: Wnt signaling pathway	Wnt signaling pathway	3.10194585895665e-08	9.32638068760564e-06	7.79781875588819e-06	146	2.08613557400852		wnt_retinoides_senalizacion	Wnt/retinoides/senalizacion
GSEA	P_OL_vs_N_OD	NES_positive	BP	GO:0007411	BP: axon guidance	axon guidance	5.06033591006956e-08	1.28195176388429e-05	1.07184424948959e-05	171	2.01096870788789		neural_desarrollo	Neural/axon/cresta
GSEA	P_OL_vs_N_OD	NES_positive	BP	GO:0030903	BP: notochord development	notochord development	1.16326648827483e-07	2.41113417569692e-05	2.01595752178538e-05	54	2.32335113140579		desarrollo_morfogenesis	Desarrollo/morfogenesis
