method	contrast	effect_direction	ontology	GO_ID	term_label	term_clean	pvalue	p_adjust	qvalue	count	effect	signed_effect	primary_category	category_label
GSEA	P_OL_vs_P_BL	NES_negative	BP	GO:0045214	BP: sarcomere organization	sarcomere organization	1.45012379533256e-20	3.31933336751622e-17	2.99946658718787e-17	90	-2.90656274064105		musculo_sarcomero	Musculo/sarcomero
GSEA	P_OL_vs_P_BL	NES_negative	BP	GO:0006936	BP: muscle contraction	muscle contraction	3.18993653894761e-16	3.65088236882554e-13	3.29906594685897e-13	79	-2.78852266434492		musculo_sarcomero	Musculo/sarcomero
GSEA	P_OL_vs_P_BL	NES_negative	BP	GO:0030240	BP: skeletal muscle thin filament assembly	skeletal muscle thin filament assembly	1.94641393553442e-13	1.48511383281276e-10	1.34200118713163e-10	41	-2.68587568108255		musculo_sarcomero	Musculo/sarcomero
GSEA	P_OL_vs_P_BL	NES_negative	BP	GO:0007519	BP: skeletal muscle tissue development	skeletal muscle tissue development	1.00258562350674e-12	5.7372962305173e-10	5.18442302681773e-10	106	-2.51296237639455		musculo_sarcomero	Musculo/sarcomero
GSEA	P_OL_vs_P_BL	NES_negative	BP	GO:0030241	BP: skeletal muscle myosin thick filament assembly	skeletal muscle myosin thick filament assembly	3.23052741180149e-12	1.47893544912272e-09	1.33641818193472e-09	34	-2.60989102938357		musculo_sarcomero	Musculo/sarcomero
GSEA	P_OL_vs_P_BL	NES_negative	BP	GO:0030239	BP: myofibril assembly	myofibril assembly	4.63370261287497e-12	1.7677575468118e-09	1.59740800601742e-09	61	-2.58598251573307		musculo_sarcomero	Musculo/sarcomero
GSEA	P_OL_vs_P_BL	NES_negative	BP	GO:0055003	BP: cardiac myofibril assembly	cardiac myofibril assembly	6.43425373179048e-12	2.10400097029549e-09	1.90124941097268e-09	46	-2.6466127719685		musculo_sarcomero	Musculo/sarcomero
GSEA	P_OL_vs_P_BL	NES_negative	BP	GO:0048739	BP: cardiac muscle fiber development	cardiac muscle fiber development	1.16280137184963e-11	3.32706542520477e-09	3.00645354695333e-09	30	-2.58907284148099		musculo_sarcomero	Musculo/sarcomero
GSEA	P_OL_vs_P_BL	NES_negative	BP	GO:0060047	BP: heart contraction	heart contraction	3.9689473805503e-11	1.00943561711996e-08	9.12161590968578e-09	88	-2.53945006726398		musculo_sarcomero	Musculo/sarcomero
GSEA	P_OL_vs_P_BL	NES_negative	BP	GO:0048741	BP: skeletal muscle fiber development	skeletal muscle fiber development	4.65151604826591e-11	1.06473202344807e-08	9.62129372088685e-09	65	-2.51744733618927		musculo_sarcomero	Musculo/sarcomero
GSEA	P_OL_vs_P_BL	NES_negative	BP	GO:0071688	BP: striated muscle myosin thick filament assembly	striated muscle myosin thick filament assembly	1.51273503830439e-10	3.14786409334431e-08	2.84452090934748e-08	25	-2.52537275294921		musculo_sarcomero	Musculo/sarcomero
GSEA	P_OL_vs_P_BL	NES_negative	BP	GO:0055008	BP: cardiac muscle tissue morphogenesis	cardiac muscle tissue morphogenesis	6.40490634295887e-10	1.19079446963378e-07	1.07604384025678e-07	44	-2.50741651061415		musculo_sarcomero	Musculo/sarcomero
GSEA	P_OL_vs_P_BL	NES_negative	BP	GO:0006941	BP: striated muscle contraction	striated muscle contraction	6.76292184588865e-10	1.19079446963378e-07	1.07604384025678e-07	28	-2.49696083157898		musculo_sarcomero	Musculo/sarcomero
GSEA	P_OL_vs_P_BL	NES_positive	BP	GO:0035115	BP: embryonic forelimb morphogenesis	embryonic forelimb morphogenesis	2.54318360419919e-08	4.15810519286567e-06	3.75741036259504e-06	40	2.40532260499303		desarrollo_morfogenesis	Desarrollo/morfogenesis
GSEA	P_OL_vs_P_BL	NES_negative	BP	GO:0060048	BP: cardiac muscle contraction	cardiac muscle contraction	2.74896471223739e-08	4.19492015087426e-06	3.79067765582209e-06	48	-2.39665169550939		musculo_sarcomero	Musculo/sarcomero
GSEA	P_OL_vs_P_BL	NES_negative	BP	GO:0014866	BP: skeletal myofibril assembly	skeletal myofibril assembly	3.17187274946227e-08	4.53776045219946e-06	4.1004802320351e-06	30	-2.38236585199745		musculo_sarcomero	Musculo/sarcomero
GSEA	P_OL_vs_P_BL	NES_positive	BP	GO:0030182	BP: neuron differentiation	neuron differentiation	4.87233424473534e-08	6.56045475658775e-06	5.92825807486374e-06	106	2.1402035535243		neural_desarrollo	Neural/axon/cresta
GSEA	P_OL_vs_P_BL	NES_negative	BP	GO:0003009	BP: skeletal muscle contraction	skeletal muscle contraction	7.10037755915896e-08	9.02931346273048e-06	8.15920579166512e-06	34	-2.3490711099053		musculo_sarcomero	Musculo/sarcomero
GSEA	P_OL_vs_P_BL	NES_positive	BP	GO:0098609	BP: cell-cell adhesion	cell-cell adhesion	2.95567377890231e-07	3.5608090946881e-05	3.21767256262773e-05	82	2.12761121593715		matriz_adhesion	Matriz extracelular/adhesion
GSEA	P_OL_vs_P_BL	NES_negative	BP	GO:0048769	BP: sarcomerogenesis	sarcomerogenesis	4.19258418491153e-07	4.79841259963125e-05	4.33601469650061e-05	17	-2.26949849261171		other	Otros
GSEA	P_OL_vs_P_BL	NES_negative	BP	GO:0015986	BP: ATP synthesis coupled proton transport	ATP synthesis coupled proton transport	5.76107949688177e-07	6.27957665160113e-05	5.67444672249257e-05	21	-2.30289906540075		mitocondria_metabolismo	Mitocondria/metabolismo
GSEA	P_OL_vs_P_BL	NES_negative	BP	GO:0042776	BP: mitochondrial ATP synthesis coupled proton transport	mitochondrial ATP synthesis coupled proton transport	1.99683442784214e-06	0.000207761545696849	0.00018774065314401	15	-2.18706687986972		mitocondria_metabolismo	Mitocondria/metabolismo
GSEA	P_OL_vs_P_BL	NES_negative	BP	GO:0007015	BP: actin filament organization	actin filament organization	2.88009037232082e-06	0.000286631602706189	0.000259010415634344	152	-1.92408632636943		musculo_sarcomero	Musculo/sarcomero
