method	contrast	effect_direction	ontology	GO_ID	term_label	term_clean	pvalue	p_adjust	qvalue	count	effect	signed_effect	primary_category	category_label
ORA	P_OL_vs_P_BL	all_DEGs	BP	GO:0031101	BP: fin regeneration	fin regeneration	7.02556137425452e-06	0.00107902433792985	0.0009378722133568	6	11.9733001067996	8.09482564086005	desarrollo_morfogenesis	Desarrollo/morfogenesis
ORA	P_OL_vs_P_BL	all_DEGs	BP	GO:0055010	BP: ventricular cardiac muscle tissue morphogenesis	ventricular cardiac muscle tissue morphogenesis	1.00798192855116e-05	0.00107902433792985	0.0009378722133568	4	27.2939744370055	10.4229874340041	musculo_sarcomero	Musculo/sarcomero
ORA	P_OL_vs_P_BL	all_DEGs	BP	GO:0055005	BP: ventricular cardiac myofibril assembly	ventricular cardiac myofibril assembly	1.34318382314919e-05	0.00107902433792985	0.0009378722133568	3	57.6895368782161	13.3587487290117	musculo_sarcomero	Musculo/sarcomero
ORA	P_OL_vs_P_BL	all_DEGs	BP	GO:0060048	BP: cardiac muscle contraction	cardiac muscle contraction	5.89516117849812e-05	0.00355183461004512	0.00308720282768717	4	17.627358490566	8.21810100856928	musculo_sarcomero	Musculo/sarcomero
ORA	P_OL_vs_P_BL	all_DEGs	BP	GO:0019915	BP: lipid storage	lipid storage	0.000377987444780416	0.0159204027997646	0.0138377818613372	3	19.8307783018868	7.59079733689983	lipidos	Lipidos
ORA	P_OL_vs_P_BL	all_DEGs	BP	GO:0003009	BP: skeletal muscle contraction	skeletal muscle contraction	0.000453171599795137	0.0159204027997646	0.0138377818613372	3	18.6642619311876	7.34182261016211	musculo_sarcomero	Musculo/sarcomero
ORA	P_OL_vs_P_BL	all_DEGs	BP	GO:0030198	BP: extracellular matrix organization	extracellular matrix organization	0.000462418338582375	0.0159204027997646	0.0138377818613372	5	7.24411992762988	5.43667377075731	matriz_adhesion	Matriz extracelular/adhesion
ORA	P_OL_vs_P_BL	all_DEGs	BP	GO:0050715	BP: positive regulation of cytokine secretion	positive regulation of cytokine secretion	0.00104500244183784	0.0301354198563487	0.0261932673134457	2	38.4596912521441	8.8318034096347	other	Otros
ORA	P_OL_vs_P_BL	all_DEGs	BP	GO:0006826	BP: iron ion transport	iron ion transport	0.00125043235918459	0.0301354198563487	0.0261932673134457	2	35.2547169811321	8.43685443632269	other	Otros
ORA	P_OL_vs_P_BL	all_DEGs	BP	GO:0050673	BP: epithelial cell proliferation	epithelial cell proliferation	0.00125043235918459	0.0301354198563487	0.0261932673134457	2	35.2547169811321	8.43685443632269	epidermis_epitelio	Epidermis/epitelio
ORA	P_OL_vs_P_BL	all_DEGs	BP	GO:0060348	BP: bone development	bone development	0.00141175482026426	0.0309302646985169	0.026884134854793	3	12.6916981132075	5.90677822866898	desarrollo_morfogenesis	Desarrollo/morfogenesis
ORA	P_OL_vs_P_BL	all_DEGs	CC	GO:0031012	CC: extracellular matrix	extracellular matrix	4.49057843107042e-07	2.51472392139944e-05	2.22165459221379e-05	8	10.4018867924528	8.72645284206012	matriz_adhesion	Matriz extracelular/adhesion
ORA	P_OL_vs_P_BL	all_DEGs	CC	GO:0062023	CC: collagen-containing extracellular matrix	collagen-containing extracellular matrix	2.11338281356484e-05	0.000541505040481146	0.000478397310199509	6	9.67617376042124	7.22530844615722	matriz_adhesion	Matriz extracelular/adhesion
ORA	P_OL_vs_P_BL	all_DEGs	CC	GO:0036379	CC: myofilament	myofilament	2.90091985972043e-05	0.000541505040481146	0.000478397310199509	3	44.5795148247978	11.8110925206729	musculo_sarcomero	Musculo/sarcomero
ORA	P_OL_vs_P_BL	all_DEGs	CC	GO:0016459	CC: myosin complex	myosin complex	0.000240690695289052	0.00336966973404673	0.00297696386278565	4	12.0601585999453	6.70530929138076	musculo_sarcomero	Musculo/sarcomero
ORA	P_OL_vs_P_BL	all_DEGs	CC	GO:0005861	CC: troponin complex	troponin complex	0.000373660677413779	0.00377306995880907	0.00333335127939899	3	19.5035377358491	7.60580128743081	musculo_sarcomero	Musculo/sarcomero
ORA	P_OL_vs_P_BL	all_DEGs	CC	GO:0005576	CC: extracellular region	extracellular region	0.000404257495586686	0.00377306995880907	0.00333335127939899	7	4.69762629336579	4.8695393029224	other	Otros
ORA	P_OL_vs_P_BL	all_DEGs	CC	GO:0005581	CC: collagen trimer	collagen trimer	0.0055187877547929	0.0386315142835503	0.034129345325693	3	7.70510132774284	4.42615196492995	matriz_adhesion	Matriz extracelular/adhesion
ORA	P_OL_vs_P_BL	all_DEGs	CC	GO:0005811	CC: lipid droplet	lipid droplet	0.0055187877547929	0.0386315142835503	0.034129345325693	3	7.70510132774284	4.42615196492995	lipidos	Lipidos
ORA	P_OL_vs_P_BL	all_DEGs	CC	GO:0043235	CC: receptor complex	receptor complex	0.00745206284857756	0.0463683910578159	0.0409645560097246	4	4.75514824797844	3.69129287891753	other	Otros
ORA	P_OL_vs_P_BL	all_DEGs	MF	GO:0050840	MF: extracellular matrix binding	extracellular matrix binding	5.18389362060693e-06	0.000461366532234017	0.000425624949902464	4	28.9082628497072	11.3646389134644	matriz_adhesion	Matriz extracelular/adhesion
ORA	P_OL_vs_P_BL	down	BP	GO:0055010	BP: ventricular cardiac muscle tissue morphogenesis	ventricular cardiac muscle tissue morphogenesis	4.51001577972194e-06	0.000734061920606556	0.000594976504070577	4	32.8768328445748	-32.8768328445748	musculo_sarcomero	Musculo/sarcomero
