method	contrast	effect_direction	ontology	GO_ID	term_label	term_clean	pvalue	p_adjust	qvalue	count	effect	signed_effect	primary_category	category_label
GSEA	N_OD_vs_N_BL	NES_negative	BP	GO:0030199	BP: collagen fibril organization	collagen fibril organization	1.24657770002386e-12	1.32885092690073e-09	1.10946697102774e-09	61	-2.71976321461375		matriz_adhesion	Matriz extracelular/adhesion
GSEA	N_OD_vs_N_BL	NES_positive	BP	GO:0006412	BP: translation	translation	1.68279982300641e-12	1.32885092690073e-09	1.10946697102774e-09	158	2.34449761837495		traduccion_ribosoma	Traduccion/ribosoma
GSEA	N_OD_vs_N_BL	NES_negative	BP	GO:0007155	BP: cell adhesion	cell adhesion	1.42397853442404e-12	1.32885092690073e-09	1.10946697102774e-09	216	-2.24057221396867		matriz_adhesion	Matriz extracelular/adhesion
GSEA	N_OD_vs_N_BL	NES_negative	BP	GO:0007411	BP: axon guidance	axon guidance	1.32508098316609e-10	7.84779212280114e-08	6.55217675623441e-08	181	-2.18119140398335		neural_desarrollo	Neural/axon/cresta
GSEA	N_OD_vs_N_BL	NES_negative	BP	GO:0002040	BP: sprouting angiogenesis	sprouting angiogenesis	1.49763980386788e-09	7.09581739072599e-07	5.92434777151103e-07	104	-2.31966899993613		other	Otros
GSEA	N_OD_vs_N_BL	NES_negative	BP	GO:0001568	BP: blood vessel development	blood vessel development	3.08655067085408e-09	1.21867308987555e-06	1.01747872114646e-06	101	-2.27126251537714		desarrollo_morfogenesis	Desarrollo/morfogenesis
GSEA	N_OD_vs_N_BL	NES_positive	BP	GO:0032981	BP: mitochondrial respiratory chain complex I assembly	mitochondrial respiratory chain complex I assembly	3.79481257362959e-09	1.28427299813264e-06	1.0722485452406e-06	34	2.52330094716351		mitocondria_metabolismo	Mitocondria/metabolismo
GSEA	N_OD_vs_N_BL	NES_negative	BP	GO:0016525	BP: negative regulation of angiogenesis	negative regulation of angiogenesis	5.24746400911134e-09	1.45811190225369e-06	1.21738786711457e-06	77	-2.33705485263043		other	Otros
GSEA	N_OD_vs_N_BL	NES_negative	BP	GO:0007229	BP: integrin-mediated signaling pathway	integrin-mediated signaling pathway	5.53947113561976e-09	1.45811190225369e-06	1.21738786711457e-06	136	-2.18798994554302		matriz_adhesion	Matriz extracelular/adhesion
GSEA	N_OD_vs_N_BL	NES_negative	BP	GO:0007275	BP: multicellular organism development	multicellular organism development	8.8817738620732e-09	2.10409222792514e-06	1.75672137756164e-06	225	-1.99520634644079		desarrollo_morfogenesis	Desarrollo/morfogenesis
