gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_name	contrast	label	short_label	priority	contrast_class	numerator	denominator	significant	significant_lfc	direction	log2FoldChange_shrunken	lfcSE_shrunken	best_gene_name	best_description	annotation_source	annotation_confidence	gene_biotype	seqname	start	end	strand	orthology_symbol	orthology_species	orthology_source	orthology_confidence	display_label
ENSSMAG00000001438	406.917357693487	-4.81407396299183	0.539642890234441	-8.92085127055119	4.6271765720559e-19	6.64971545170154e-15	dgat2	P_OD_vs_P_OL	Pseudoalbino: superficie ocular oscura vs superficie ocular clara	Pseudoalbino: ocular oscura vs ocular clara	primary	pseudoalbino_within_surface	P_OD	P_OL	TRUE	TRUE	down			dgat2	Direct local gene symbol: dgat2	salmon_tx2gene_or_nfcore	direct_local_symbol	protein_coding	4	18433140	18442482	+					dgat2 / ENSSMAG00000001438
ENSSMAG00000018410	715.546795088718	5.61905415129651	0.658968349254877	8.52704709968273	1.50130753378672e-17	1.07876452840245e-13	col10a1a	P_OD_vs_P_OL	Pseudoalbino: superficie ocular oscura vs superficie ocular clara	Pseudoalbino: ocular oscura vs ocular clara	primary	pseudoalbino_within_surface	P_OD	P_OL	TRUE	TRUE	up			col10a1a	Direct local gene symbol: col10a1a	salmon_tx2gene_or_nfcore	direct_local_symbol	protein_coding	17	7446084	7450505	-					col10a1a / ENSSMAG00000018410
ENSSMAG00000011709	123.273421131811	4.40503381905311	0.539276562711497	8.16841324774895	3.12471969597384e-16	1.49684489169467e-12	ENSSMAG00000011709	P_OD_vs_P_OL	Pseudoalbino: superficie ocular oscura vs superficie ocular clara	Pseudoalbino: ocular oscura vs ocular clara	primary	pseudoalbino_within_surface	P_OD	P_OL	TRUE	TRUE	up			col5a2b	collagen, type V, alpha 2b [Source:ZFIN;Acc:ZDB-GENE-110406-2]	ensembl_rest_display_name	medium_ensembl_rest_symbol	protein_coding	1	9124047	9137431	-					col5a2b / ENSSMAG00000011709
ENSSMAG00000018381	112.493279947856	4.55127248708222	0.625350871944402	7.27795017368563	3.38930459291386e-13	1.21769240761913e-09	col10a1b	P_OD_vs_P_OL	Pseudoalbino: superficie ocular oscura vs superficie ocular clara	Pseudoalbino: ocular oscura vs ocular clara	primary	pseudoalbino_within_surface	P_OD	P_OL	TRUE	TRUE	up			col10a1b	Direct local gene symbol: col10a1b	salmon_tx2gene_or_nfcore	direct_local_symbol	protein_coding	20	2592462	2597089	-					col10a1b / ENSSMAG00000018381
ENSSMAG00000012136	327.128892354758	3.22079283202131	0.449748029162953	7.16132728366966	7.98996367037805e-13	2.29647535814006e-09	cilp2	P_OD_vs_P_OL	Pseudoalbino: superficie ocular oscura vs superficie ocular clara	Pseudoalbino: ocular oscura vs ocular clara	primary	pseudoalbino_within_surface	P_OD	P_OL	TRUE	TRUE	up			cilp2	Direct local gene symbol: cilp2	salmon_tx2gene_or_nfcore	direct_local_symbol	protein_coding	12	16858556	16875079	-					cilp2 / ENSSMAG00000012136
ENSSMAG00000001466	273.921511446991	3.17582714437558	0.476158805970504	6.6696805867165	2.56360756684564e-11	6.14026739052312e-08	ENSSMAG00000001466	P_OD_vs_P_OL	Pseudoalbino: superficie ocular oscura vs superficie ocular clara	Pseudoalbino: ocular oscura vs ocular clara	primary	pseudoalbino_within_surface	P_OD	P_OL	TRUE	TRUE	up			olfml2bb	olfactomedin-like 2Bb [Source:ZFIN;Acc:ZDB-GENE-070912-266]	ensembl_rest_display_name	medium_ensembl_rest_symbol	protein_coding	7	20146966	20154260	+					olfml2bb / ENSSMAG00000001466
ENSSMAG00000005604	107.996822041723	-3.88293766332687	0.647727398955374	-5.99470961022971	2.03849376091836e-09	4.18502769116539e-06	crabp1a	P_OD_vs_P_OL	Pseudoalbino: superficie ocular oscura vs superficie ocular clara	Pseudoalbino: ocular oscura vs ocular clara	primary	pseudoalbino_within_surface	P_OD	P_OL	TRUE	TRUE	down			crabp1a	Direct local gene symbol: crabp1a	salmon_tx2gene_or_nfcore	direct_local_symbol	protein_coding	10	7656873	7669746	-					crabp1a / ENSSMAG00000005604
ENSSMAG00000000444	145.501955329667	4.15485600074895	0.697731150640063	5.95480938028565	2.60375131339705e-09	4.67731376560362e-06	tnn	P_OD_vs_P_OL	Pseudoalbino: superficie ocular oscura vs superficie ocular clara	Pseudoalbino: ocular oscura vs ocular clara	primary	pseudoalbino_within_surface	P_OD	P_OL	TRUE	TRUE	up			tnn	Direct local gene symbol: tnn	salmon_tx2gene_or_nfcore	direct_local_symbol	protein_coding	7	11251384	11281518	-					tnn / ENSSMAG00000000444
ENSSMAG00000001765	985.904972240604	2.05385114710867	0.346633885804124	5.92513089810633	3.12048724557694e-09	4.98272468957624e-06	ENSSMAG00000001765	P_OD_vs_P_OL	Pseudoalbino: superficie ocular oscura vs superficie ocular clara	Pseudoalbino: ocular oscura vs ocular clara	primary	pseudoalbino_within_surface	P_OD	P_OL	TRUE	TRUE	up			abi3bpa	ABI family, member 3 (NESH) binding protein a [Source:ZFIN;Acc:ZDB-GENE-070912-325]	ensembl_rest_display_name	medium_ensembl_rest_symbol	protein_coding	14	16535502	16553593	-					abi3bpa / ENSSMAG00000001765
ENSSMAG00000009975	929.662400536451	2.05236937611807	0.347759752459088	5.90168747707375	3.59802250661221e-09	5.1707181442524e-06	chad	P_OD_vs_P_OL	Pseudoalbino: superficie ocular oscura vs superficie ocular clara	Pseudoalbino: ocular oscura vs ocular clara	primary	pseudoalbino_within_surface	P_OD	P_OL	TRUE	TRUE	up			chad	Direct local gene symbol: chad	salmon_tx2gene_or_nfcore	direct_local_symbol	protein_coding	18	20021615	20024974	+					chad / ENSSMAG00000009975
ENSSMAG00000007890	6382.27453788207	2.79014665433922	0.480345252385193	5.80862752464925	6.29870438119511e-09	8.13518966686188e-06	ENSSMAG00000007890	P_OD_vs_P_OL	Pseudoalbino: superficie ocular oscura vs superficie ocular clara	Pseudoalbino: ocular oscura vs ocular clara	primary	pseudoalbino_within_surface	P_OD	P_OL	TRUE	TRUE	up			angptl7	Ensembl REST display name: angptl7	ensembl_rest_display_name	medium_ensembl_rest_symbol	protein_coding	11	6984413	6988154	+					angptl7 / ENSSMAG00000007890
ENSSMAG00000008403	9441.97555278143	2.2865677568597	0.394510381132537	5.7959634681743	6.79300507983735e-09	8.13518966686188e-06	ENSSMAG00000008403	P_OD_vs_P_OL	Pseudoalbino: superficie ocular oscura vs superficie ocular clara	Pseudoalbino: ocular oscura vs ocular clara	primary	pseudoalbino_within_surface	P_OD	P_OL	TRUE	TRUE	up			ENSSMAG00000008403	No functional description available from local Salmon/GTF annotation	local_gtf_id_only	low_unannotated_id_only	protein_coding	10	9795268	9797897	-					ENSSMAG00000008403
ENSSMAG00000012692	2788.53419459126	2.36412555565231	0.411660862869516	5.74289607997462	9.30708495322296e-09	1.02886244509821e-05	tnmd	P_OD_vs_P_OL	Pseudoalbino: superficie ocular oscura vs superficie ocular clara	Pseudoalbino: ocular oscura vs ocular clara	primary	pseudoalbino_within_surface	P_OD	P_OL	TRUE	TRUE	up			tnmd	Direct local gene symbol: tnmd	salmon_tx2gene_or_nfcore	direct_local_symbol	protein_coding	13	8577698	8620397	+					tnmd / ENSSMAG00000012692
ENSSMAG00000005313	499.385363827469	2.34497377676899	0.409545461951647	5.72579602175117	1.02949859183624e-08	1.0567803045199e-05	ENSSMAG00000005313	P_OD_vs_P_OL	Pseudoalbino: superficie ocular oscura vs superficie ocular clara	Pseudoalbino: ocular oscura vs ocular clara	primary	pseudoalbino_within_surface	P_OD	P_OL	TRUE	TRUE	up			ENSSMAG00000005313	No functional description available from local Salmon/GTF annotation	local_gtf_id_only	low_unannotated_id_only	protein_coding	15	9596156	9598456	-					ENSSMAG00000005313
ENSSMAG00000008364	150.570147946468	-2.67275758058331	0.4820704955853	-5.54432931502729	2.95083016978573e-08	2.82709202466605e-05	ENSSMAG00000008364	P_OD_vs_P_OL	Pseudoalbino: superficie ocular oscura vs superficie ocular clara	Pseudoalbino: ocular oscura vs ocular clara	primary	pseudoalbino_within_surface	P_OD	P_OL	TRUE	TRUE	down			ENSSMAG00000008364	No functional description available from local Salmon/GTF annotation	local_gtf_id_only	low_unannotated_id_only	protein_coding	9	20380794	20391304	-					ENSSMAG00000008364
