gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_name	contrast	label	short_label	priority	contrast_class	numerator	denominator	significant	significant_lfc	direction	log2FoldChange_shrunken	lfcSE_shrunken	best_gene_name	best_description	annotation_source	annotation_confidence	gene_biotype	seqname	start	end	strand	orthology_symbol	orthology_species	orthology_source	orthology_confidence	display_label
ENSSMAG00000010306	3246.742438233839	-1.68986858816374	0.2584178715179352	-6.539286846677927	6.181286980701152e-11	7.172194832068938e-8	thbs4a	N_OD_vs_N_BL	Normal ocular dark vs normal blind light	N_OD vs N_BL	primary	physiological_reference	N_OD	N_BL	TRUE	TRUE	down	NA	NA	thbs4a	Direct local gene symbol: thbs4a	salmon_tx2gene_or_nfcore	direct_local_symbol	protein_coding	9	13109085	13117238	+	NA	NA	NA	NA	thbs4a / ENSSMAG00000010306
ENSSMAG00000016467	184.05877929492257	-1.8499394242069271	0.32052447538340584	-5.771601129661195	7.852181023550371e-9	4.935095773301408e-6	c1qtnf5	N_OD_vs_N_BL	Normal ocular dark vs normal blind light	N_OD vs N_BL	primary	physiological_reference	N_OD	N_BL	TRUE	TRUE	down	NA	NA	c1qtnf5	Direct local gene symbol: c1qtnf5	salmon_tx2gene_or_nfcore	direct_local_symbol	protein_coding	3	14952506	14955668	-	NA	NA	NA	NA	c1qtnf5 / ENSSMAG00000016467
ENSSMAG00000009599	4227.370718147761	-1.2585830416225898	0.22186180052815763	-5.67282442775838	1.4046216861468384e-8	7.847153153273671e-6	ENSSMAG00000009599	N_OD_vs_N_BL	Normal ocular dark vs normal blind light	N_OD vs N_BL	primary	physiological_reference	N_OD	N_BL	TRUE	TRUE	down	NA	NA	CPZ	carboxypeptidase Z [Source:UniProtKB Gene Name;Acc:A0A8D3ABK6]	ensembl_rest_display_name	medium_ensembl_rest_symbol	protein_coding	2	6253181	6260330	+	NA	NA	NA	NA	CPZ / ENSSMAG00000009599
ENSSMAG00000017056	5842.505458475031	-1.2530704692341097	0.23298568924241783	-5.378315180252594	7.518611026320708e-8	3.24030653488633e-5	fndc1	N_OD_vs_N_BL	Normal ocular dark vs normal blind light	N_OD vs N_BL	primary	physiological_reference	N_OD	N_BL	TRUE	TRUE	down	NA	NA	fndc1	Direct local gene symbol: fndc1	salmon_tx2gene_or_nfcore	direct_local_symbol	protein_coding	20	13325737	13356584	+	NA	NA	NA	NA	fndc1 / ENSSMAG00000017056
ENSSMAG00000001765	640.3458526142215	-1.5827067813239408	0.3140715112620162	-5.039319787281048	4.671893023448826e-7	1.615239854643258e-4	ENSSMAG00000001765	N_OD_vs_N_BL	Normal ocular dark vs normal blind light	N_OD vs N_BL	primary	physiological_reference	N_OD	N_BL	TRUE	TRUE	down	NA	NA	abi3bpa	ABI family, member 3 (NESH) binding protein a [Source:ZFIN;Acc:ZDB-GENE-070912-325]	ensembl_rest_display_name	medium_ensembl_rest_symbol	protein_coding	14	16535502	16553593	-	NA	NA	NA	NA	abi3bpa / ENSSMAG00000001765
ENSSMAG00000007875	53.4524068377188	-2.341552190660991	0.46909679176010194	-4.991618428843297	5.987545211889094e-7	2.0070251550252243e-4	ENSSMAG00000007875	N_OD_vs_N_BL	Normal ocular dark vs normal blind light	N_OD vs N_BL	primary	physiological_reference	N_OD	N_BL	TRUE	TRUE	down	NA	NA	ENSSMAG00000007875	No functional description available from local Salmon/GTF annotation	local_gtf_id_only	low_unannotated_id_only	protein_coding	11	24807583	24811276	+	NA	NA	NA	NA	ENSSMAG00000007875
ENSSMAG00000019284	4903.587843716684	-1.0873076322450363	0.22259864087602976	-4.884610382012991	1.0363357318899888e-6	3.1264176359657183e-4	pcolcea	N_OD_vs_N_BL	Normal ocular dark vs normal blind light	N_OD vs N_BL	primary	physiological_reference	N_OD	N_BL	TRUE	TRUE	down	NA	NA	pcolcea	Direct local gene symbol: pcolcea	salmon_tx2gene_or_nfcore	direct_local_symbol	protein_coding	4	15694195	15700504	-	NA	NA	NA	NA	pcolcea / ENSSMAG00000019284
ENSSMAG00000003444	134.3388139181749	-1.508912938309232	0.3149285235119687	-4.791286992624174	1.657148888911508e-6	4.574257142080677e-4	rspo1	N_OD_vs_N_BL	Normal ocular dark vs normal blind light	N_OD vs N_BL	primary	physiological_reference	N_OD	N_BL	TRUE	TRUE	down	NA	NA	rspo1	Direct local gene symbol: rspo1	salmon_tx2gene_or_nfcore	direct_local_symbol	protein_coding	1	15560622	15572251	-	NA	NA	NA	NA	rspo1 / ENSSMAG00000003444
ENSSMAG00000008146	154804.89624643466	-1.1677163108017954	0.24624703620229427	-4.742052244813641	2.115640440381898e-6	5.502124207365612e-4	col1a1b	N_OD_vs_N_BL	Normal ocular dark vs normal blind light	N_OD vs N_BL	primary	physiological_reference	N_OD	N_BL	TRUE	TRUE	down	NA	NA	col1a1b	Direct local gene symbol: col1a1b	salmon_tx2gene_or_nfcore	direct_local_symbol	protein_coding	18	18977417	18993108	+	NA	NA	NA	NA	col1a1b / ENSSMAG00000008146
ENSSMAG00000011803	1080.048130026158	-1.1740302213738427	0.25109468356571313	-4.675647467727413	2.930276165797801e-6	6.906294638264692e-4	ENSSMAG00000011803	N_OD_vs_N_BL	Normal ocular dark vs normal blind light	N_OD vs N_BL	primary	physiological_reference	N_OD	N_BL	TRUE	TRUE	down	NA	NA	ENSSMAG00000011803	No functional description available from local Salmon/GTF annotation	local_gtf_id_only	low_unannotated_id_only	protein_coding	11	24782765	24842253	+	NA	NA	NA	NA	ENSSMAG00000011803
ENSSMAG00000010783	25.45322826677288	-3.724575701792362	0.8004304104478424	-4.653216136189097	3.267973834038214e-6	7.468805653429154e-4	ENSSMAG00000010783	N_OD_vs_N_BL	Normal ocular dark vs normal blind light	N_OD vs N_BL	primary	physiological_reference	N_OD	N_BL	TRUE	TRUE	down	NA	NA	ENSSMAG00000010783	No functional description available from local Salmon/GTF annotation	local_gtf_id_only	low_unannotated_id_only	protein_coding	11	24827327	24834079	+	NA	NA	NA	NA	ENSSMAG00000010783
ENSSMAG00000018384	493.52535203472416	-1.338224560587677	0.2896806059543644	-4.619655348271737	3.84377997092807e-6	8.526408394335148e-4	ENSSMAG00000018384	N_OD_vs_N_BL	Normal ocular dark vs normal blind light	N_OD vs N_BL	primary	physiological_reference	N_OD	N_BL	TRUE	TRUE	down	NA	NA	itga11b	integrin subunit alpha 11 [Source:UniProtKB Gene Name;Acc:A0A8D3E0K9]	ensembl_rest_display_name	medium_ensembl_rest_symbol	protein_coding	10	25404951	25425110	-	NA	NA	NA	NA	itga11b / ENSSMAG00000018384
