gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_name	contrast	label	short_label	priority	contrast_class	numerator	denominator	significant	significant_lfc	direction	log2FoldChange_shrunken	lfcSE_shrunken	best_gene_name	best_description	annotation_source	annotation_confidence	gene_biotype	seqname	start	end	strand	orthology_symbol	orthology_species	orthology_source	orthology_confidence	display_label
ENSSMAG00000010306	3246.74243823384	-1.68986858816374	0.258417871517935	-6.53928684667793	6.18128698070115e-11	7.17219483206894e-08	thbs4a	N_OD_vs_N_BL	Normal: superficie ocular oscura vs superficie ciega clara	Normal: ocular oscura vs ciega clara	primary	physiological_reference	N_OD	N_BL	TRUE	TRUE	down			thbs4a	Direct local gene symbol: thbs4a	salmon_tx2gene_or_nfcore	direct_local_symbol	protein_coding	9	13109085	13117238	+					thbs4a / ENSSMAG00000010306
ENSSMAG00000016467	184.058779294923	-1.84993942420693	0.320524475383406	-5.7716011296612	7.85218102355037e-09	4.93509577330141e-06	c1qtnf5	N_OD_vs_N_BL	Normal: superficie ocular oscura vs superficie ciega clara	Normal: ocular oscura vs ciega clara	primary	physiological_reference	N_OD	N_BL	TRUE	TRUE	down			c1qtnf5	Direct local gene symbol: c1qtnf5	salmon_tx2gene_or_nfcore	direct_local_symbol	protein_coding	3	14952506	14955668	-					c1qtnf5 / ENSSMAG00000016467
ENSSMAG00000009599	4227.37071814776	-1.25858304162259	0.221861800528158	-5.67282442775838	1.40462168614684e-08	7.84715315327367e-06	ENSSMAG00000009599	N_OD_vs_N_BL	Normal: superficie ocular oscura vs superficie ciega clara	Normal: ocular oscura vs ciega clara	primary	physiological_reference	N_OD	N_BL	TRUE	TRUE	down			CPZ	carboxypeptidase Z [Source:UniProtKB Gene Name;Acc:A0A8D3ABK6]	ensembl_rest_display_name	medium_ensembl_rest_symbol	protein_coding	2	6253181	6260330	+					CPZ / ENSSMAG00000009599
ENSSMAG00000017056	5842.50545847503	-1.25307046923411	0.232985689242418	-5.37831518025259	7.51861102632071e-08	3.24030653488633e-05	fndc1	N_OD_vs_N_BL	Normal: superficie ocular oscura vs superficie ciega clara	Normal: ocular oscura vs ciega clara	primary	physiological_reference	N_OD	N_BL	TRUE	TRUE	down			fndc1	Direct local gene symbol: fndc1	salmon_tx2gene_or_nfcore	direct_local_symbol	protein_coding	20	13325737	13356584	+					fndc1 / ENSSMAG00000017056
ENSSMAG00000001765	640.345852614221	-1.58270678132394	0.314071511262016	-5.03931978728105	4.67189302344883e-07	0.000161523985464326	ENSSMAG00000001765	N_OD_vs_N_BL	Normal: superficie ocular oscura vs superficie ciega clara	Normal: ocular oscura vs ciega clara	primary	physiological_reference	N_OD	N_BL	TRUE	TRUE	down			abi3bpa	ABI family, member 3 (NESH) binding protein a [Source:ZFIN;Acc:ZDB-GENE-070912-325]	ensembl_rest_display_name	medium_ensembl_rest_symbol	protein_coding	14	16535502	16553593	-					abi3bpa / ENSSMAG00000001765
ENSSMAG00000007875	53.4524068377188	-2.34155219066099	0.469096791760102	-4.9916184288433	5.98754521188909e-07	0.000200702515502522	ENSSMAG00000007875	N_OD_vs_N_BL	Normal: superficie ocular oscura vs superficie ciega clara	Normal: ocular oscura vs ciega clara	primary	physiological_reference	N_OD	N_BL	TRUE	TRUE	down			ENSSMAG00000007875	No functional description available from local Salmon/GTF annotation	local_gtf_id_only	low_unannotated_id_only	protein_coding	11	24807583	24811276	+					ENSSMAG00000007875
ENSSMAG00000019284	4903.58784371668	-1.08730763224504	0.22259864087603	-4.88461038201299	1.03633573188999e-06	0.000312641763596572	pcolcea	N_OD_vs_N_BL	Normal: superficie ocular oscura vs superficie ciega clara	Normal: ocular oscura vs ciega clara	primary	physiological_reference	N_OD	N_BL	TRUE	TRUE	down			pcolcea	Direct local gene symbol: pcolcea	salmon_tx2gene_or_nfcore	direct_local_symbol	protein_coding	4	15694195	15700504	-					pcolcea / ENSSMAG00000019284
ENSSMAG00000003444	134.338813918175	-1.50891293830923	0.314928523511969	-4.79128699262417	1.65714888891151e-06	0.000457425714208068	rspo1	N_OD_vs_N_BL	Normal: superficie ocular oscura vs superficie ciega clara	Normal: ocular oscura vs ciega clara	primary	physiological_reference	N_OD	N_BL	TRUE	TRUE	down			rspo1	Direct local gene symbol: rspo1	salmon_tx2gene_or_nfcore	direct_local_symbol	protein_coding	1	15560622	15572251	-					rspo1 / ENSSMAG00000003444
ENSSMAG00000008146	154804.896246435	-1.1677163108018	0.246247036202294	-4.74205224481364	2.1156404403819e-06	0.000550212420736561	col1a1b	N_OD_vs_N_BL	Normal: superficie ocular oscura vs superficie ciega clara	Normal: ocular oscura vs ciega clara	primary	physiological_reference	N_OD	N_BL	TRUE	TRUE	down			col1a1b	Direct local gene symbol: col1a1b	salmon_tx2gene_or_nfcore	direct_local_symbol	protein_coding	18	18977417	18993108	+					col1a1b / ENSSMAG00000008146
ENSSMAG00000011803	1080.04813002616	-1.17403022137384	0.251094683565713	-4.67564746772741	2.9302761657978e-06	0.000690629463826469	ENSSMAG00000011803	N_OD_vs_N_BL	Normal: superficie ocular oscura vs superficie ciega clara	Normal: ocular oscura vs ciega clara	primary	physiological_reference	N_OD	N_BL	TRUE	TRUE	down			ENSSMAG00000011803	No functional description available from local Salmon/GTF annotation	local_gtf_id_only	low_unannotated_id_only	protein_coding	11	24782765	24842253	+					ENSSMAG00000011803
