gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_name	contrast	label	short_label	priority	contrast_class	numerator	denominator	significant	significant_lfc	direction	log2FoldChange_shrunken	lfcSE_shrunken	best_gene_name	best_description	annotation_source	annotation_confidence	gene_biotype	seqname	start	end	strand	orthology_symbol	orthology_species	orthology_source	orthology_confidence	display_label
ENSSMAG00000018410	2169.49944084429	-7.26112568549931	0.611558359723317	-11.8731525291951	1.6319969006384e-32	2.3153140029357e-28	col10a1a	P_OL_vs_P_BL	Pseudoalbino ocular light vs pseudoalbino blind light	P_OL vs P_BL	bridge	color_matched_surface_test	P_OL	P_BL	TRUE	TRUE	down			col10a1a	Direct local gene symbol: col10a1a	salmon_tx2gene_or_nfcore	direct_local_symbol	protein_coding	17	7446084	7450505	-					col10a1a / ENSSMAG00000018410
ENSSMAG00000011709	246.088160131752	-5.54825165678565	0.56941762000938	-9.74373019348127	1.96216534115248e-22	1.39186198474651e-18	ENSSMAG00000011709	P_OL_vs_P_BL	Pseudoalbino ocular light vs pseudoalbino blind light	P_OL vs P_BL	bridge	color_matched_surface_test	P_OL	P_BL	TRUE	TRUE	down			col5a2b	collagen, type V, alpha 2b [Source:ZFIN;Acc:ZDB-GENE-110406-2]	ensembl_rest_display_name	medium_ensembl_rest_symbol	protein_coding	1	9124047	9137431	-					col5a2b / ENSSMAG00000011709
ENSSMAG00000018381	204.765284419468	-5.3531018200728	0.644991471181517	-8.29949241075516	1.04557147806249e-16	4.94450751975751e-13	col10a1b	P_OL_vs_P_BL	Pseudoalbino ocular light vs pseudoalbino blind light	P_OL vs P_BL	bridge	color_matched_surface_test	P_OL	P_BL	TRUE	TRUE	down			col10a1b	Direct local gene symbol: col10a1b	salmon_tx2gene_or_nfcore	direct_local_symbol	protein_coding	20	2592462	2597089	-					col10a1b / ENSSMAG00000018381
ENSSMAG00000005604	112.232381620842	4.2123213769531	0.579525419699873	7.26857051263531	3.63311495515339e-13	1.28857504671903e-09	crabp1a	P_OL_vs_P_BL	Pseudoalbino ocular light vs pseudoalbino blind light	P_OL vs P_BL	bridge	color_matched_surface_test	P_OL	P_BL	TRUE	TRUE	up			crabp1a	Direct local gene symbol: crabp1a	salmon_tx2gene_or_nfcore	direct_local_symbol	protein_coding	10	7656873	7669746	-					crabp1a / ENSSMAG00000005604
ENSSMAG00000013393	64.0395870236757	-4.72978898580985	0.692939962192294	-6.82568367228518	8.75075610924366e-12	2.48293953843679e-08	spp1	P_OL_vs_P_BL	Pseudoalbino ocular light vs pseudoalbino blind light	P_OL vs P_BL	bridge	color_matched_surface_test	P_OL	P_BL	TRUE	TRUE	down			spp1	Direct local gene symbol: spp1	salmon_tx2gene_or_nfcore	direct_local_symbol	protein_coding	16	2090489	2093173	+					spp1 / ENSSMAG00000013393
ENSSMAG00000001438	444.10855925593	4.06610240016603	0.625175540835642	6.50393710977731	7.82446187600498e-11	1.85009401058138e-07	dgat2	P_OL_vs_P_BL	Pseudoalbino ocular light vs pseudoalbino blind light	P_OL vs P_BL	bridge	color_matched_surface_test	P_OL	P_BL	TRUE	TRUE	up			dgat2	Direct local gene symbol: dgat2	salmon_tx2gene_or_nfcore	direct_local_symbol	protein_coding	4	18433140	18442482	+					dgat2 / ENSSMAG00000001438
ENSSMAG00000007311	141.591621294715	-3.90624846520168	0.63445210124086	-6.15688474758275	7.41897982835111e-10	1.50361524035453e-06	notum2	P_OL_vs_P_BL	Pseudoalbino ocular light vs pseudoalbino blind light	P_OL vs P_BL	bridge	color_matched_surface_test	P_OL	P_BL	TRUE	TRUE	down			notum2	Direct local gene symbol: notum2	salmon_tx2gene_or_nfcore	direct_local_symbol	protein_coding	8	18688049	18693800	-					notum2 / ENSSMAG00000007311
ENSSMAG00000020424	341.636414411957	-3.63014094260616	0.612675785908682	-5.92506024572551	3.12182918010643e-09	5.53617382227124e-06	mpx	P_OL_vs_P_BL	Pseudoalbino ocular light vs pseudoalbino blind light	P_OL vs P_BL	bridge	color_matched_surface_test	P_OL	P_BL	TRUE	TRUE	down			mpx	Direct local gene symbol: mpx	salmon_tx2gene_or_nfcore	direct_local_symbol	protein_coding	16	8153217	8159084	-					mpx / ENSSMAG00000020424
ENSSMAG00000007989	62.758270181215	-4.92204424120524	0.835059871698959	-5.89424112931108	3.76407181089396e-09	5.93343186457252e-06	CD109	P_OL_vs_P_BL	Pseudoalbino ocular light vs pseudoalbino blind light	P_OL vs P_BL	bridge	color_matched_surface_test	P_OL	P_BL	TRUE	TRUE	down			CD109	Direct local gene symbol: CD109	salmon_tx2gene_or_nfcore	direct_local_symbol	protein_coding	20	19279845	19297844	+					CD109 / ENSSMAG00000007989
ENSSMAG00000003548	21.5384035287091	-8.00839029567449	1.41983403745697	-5.64037069432293	1.69684455689855e-08	2.40731337287197e-05	LOXL4	P_OL_vs_P_BL	Pseudoalbino ocular light vs pseudoalbino blind light	P_OL vs P_BL	bridge	color_matched_surface_test	P_OL	P_BL	TRUE	TRUE	down			LOXL4	Direct local gene symbol: LOXL4	salmon_tx2gene_or_nfcore	direct_local_symbol	protein_coding	8	17251160	17268814	+					LOXL4 / ENSSMAG00000003548
ENSSMAG00000000444	139.758791950133	-4.22750898472764	0.753701005078676	-5.60900006267916	2.03498950227097e-08	2.62458146079256e-05	tnn	P_OL_vs_P_BL	Pseudoalbino ocular light vs pseudoalbino blind light	P_OL vs P_BL	bridge	color_matched_surface_test	P_OL	P_BL	TRUE	TRUE	down			tnn	Direct local gene symbol: tnn	salmon_tx2gene_or_nfcore	direct_local_symbol	protein_coding	7	11251384	11281518	-					tnn / ENSSMAG00000000444
ENSSMAG00000007890	7239.0160122108	-2.70628165625113	0.492007640150895	-5.50048705630088	3.78743557371849e-08	4.47769570702868e-05	ENSSMAG00000007890	P_OL_vs_P_BL	Pseudoalbino ocular light vs pseudoalbino blind light	P_OL vs P_BL	bridge	color_matched_surface_test	P_OL	P_BL	TRUE	TRUE	down			angptl7	Ensembl REST display name: angptl7	ensembl_rest_display_name	medium_ensembl_rest_symbol	protein_coding	11	6984413	6988154	+					angptl7 / ENSSMAG00000007890
ENSSMAG00000037897	39.2081345302755	-5.25736025953733	0.971940570943299	-5.40913757148227	6.33289702513485e-08	6.64809639687764e-05	ENSSMAG00000037897	P_OL_vs_P_BL	Pseudoalbino ocular light vs pseudoalbino blind light	P_OL vs P_BL	bridge	color_matched_surface_test	P_OL	P_BL	TRUE	TRUE	down			ENSSMAG00000037897	No functional description available from local Salmon/GTF annotation	local_gtf_id_only	low_unannotated_id_only	protein_coding	3	20775285	20776995	+					ENSSMAG00000037897
ENSSMAG00000019171	37.6570653901203	-4.0691953656201	0.754661787249598	-5.39207819233896	6.96474467871336e-08	6.64809639687764e-05	mmp9	P_OL_vs_P_BL	Pseudoalbino ocular light vs pseudoalbino blind light	P_OL vs P_BL	bridge	color_matched_surface_test	P_OL	P_BL	TRUE	TRUE	down			mmp9	Direct local gene symbol: mmp9	salmon_tx2gene_or_nfcore	direct_local_symbol	protein_coding	11	12612836	12618512	-					mmp9 / ENSSMAG00000019171
