gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_name	contrast	label	short_label	priority	contrast_class	numerator	denominator	significant	significant_lfc	direction	log2FoldChange_shrunken	lfcSE_shrunken	best_gene_name	best_description	annotation_source	annotation_confidence	gene_biotype	seqname	start	end	strand	orthology_symbol	orthology_species	orthology_source	orthology_confidence	display_label
ENSSMAG00000012712	247.489096803996	8.39326635304814	0.770683974108403	10.8906719680505	1.27694572229861e-27	1.92614492751522e-23	ENSSMAG00000012712	N_OD_vs_N_BL	Normal ocular dark vs normal blind light	N_OD vs N_BL	primary	physiological_reference	N_OD	N_BL	TRUE	TRUE	up			tyrp1b	Ensembl REST display name: tyrp1b	ensembl_rest_display_name	medium_ensembl_rest_symbol	protein_coding	8	12291681	12297330	-					tyrp1b / ENSSMAG00000012712
ENSSMAG00000017854	745.241378086194	8.32894441525775	1.04780812542241	7.94892138472395	1.88142393206948e-15	1.4189699295668e-11	ENSSMAG00000017854	N_OD_vs_N_BL	Normal ocular dark vs normal blind light	N_OD vs N_BL	primary	physiological_reference	N_OD	N_BL	TRUE	TRUE	up			ENSSMAG00000017854	No functional description available from local Salmon/GTF annotation	local_gtf_id_only	low_unannotated_id_only	protein_coding	7	7815857	7817842	+					ENSSMAG00000017854
ENSSMAG00000009625	81.5130834669582	4.54896506582134	0.582173320322132	7.81376422970443	5.55048771994925e-15	2.79078522559048e-11	tmem130	N_OD_vs_N_BL	Normal ocular dark vs normal blind light	N_OD vs N_BL	primary	physiological_reference	N_OD	N_BL	TRUE	TRUE	up			tmem130	Direct local gene symbol: tmem130	salmon_tx2gene_or_nfcore	direct_local_symbol	protein_coding	18	9967612	9972658	-					tmem130 / ENSSMAG00000009625
ENSSMAG00000018926	490.82212946062	9.57477281138618	1.29113680286152	7.41576941356316	1.20920724960093e-13	4.55992053824512e-10	ENSSMAG00000018926	N_OD_vs_N_BL	Normal ocular dark vs normal blind light	N_OD vs N_BL	primary	physiological_reference	N_OD	N_BL	TRUE	TRUE	up			si:dkey-251i10.2	Ensembl REST display name: si:dkey-251i10.2	ensembl_rest_display_name	medium_ensembl_rest_symbol	protein_coding	9	15563010	15566637	-					si:dkey-251i10.2 / ENSSMAG00000018926
ENSSMAG00000003556	131.636831255241	3.6283593432013	0.498863577875467	7.2732496500417	3.50940877438043e-13	9.5548430464285e-10	KIF5B	N_OD_vs_N_BL	Normal ocular dark vs normal blind light	N_OD vs N_BL	primary	physiological_reference	N_OD	N_BL	TRUE	TRUE	up			KIF5B	Direct local gene symbol: KIF5B	salmon_tx2gene_or_nfcore	direct_local_symbol	protein_coding	21	10135679	10152047	-					KIF5B / ENSSMAG00000003556
ENSSMAG00000030081	96.1665214298879	3.09321019757318	0.425916698618506	7.26247692942363	3.800653558643e-13	9.5548430464285e-10	ENSSMAG00000030081	N_OD_vs_N_BL	Normal ocular dark vs normal blind light	N_OD vs N_BL	primary	physiological_reference	N_OD	N_BL	TRUE	TRUE	up			ENSSMAG00000030081	No functional description available from local Salmon/GTF annotation	local_gtf_id_only	low_unannotated_id_only	protein_coding	15	19229766	19235838	+					ENSSMAG00000030081
ENSSMAG00000009108	50.2348617730764	7.06071785168826	1.00210635439053	7.04587673828545	1.84297348292103e-12	3.9713445737687e-09	RGS2	N_OD_vs_N_BL	Normal ocular dark vs normal blind light	N_OD vs N_BL	primary	physiological_reference	N_OD	N_BL	TRUE	TRUE	up			RGS2	Direct local gene symbol: RGS2	salmon_tx2gene_or_nfcore	direct_local_symbol	protein_coding	7	15635622	15637261	-					RGS2 / ENSSMAG00000009108
ENSSMAG00000004209	324.855247671703	7.14186766897311	1.02088336427285	6.99577240545995	2.63801482354636e-12	4.97397694979666e-09	ENSSMAG00000004209	N_OD_vs_N_BL	Normal ocular dark vs normal blind light	N_OD vs N_BL	primary	physiological_reference	N_OD	N_BL	TRUE	TRUE	up			ENSSMAG00000004209	No functional description available from local Salmon/GTF annotation	local_gtf_id_only	low_unannotated_id_only	protein_coding	6	15240349	15246971	-					ENSSMAG00000004209
ENSSMAG00000010205	51.9450439091498	5.288776254524	0.791833413150496	6.67915266859144	2.40327703258772e-11	4.02789230661701e-08	TYRP1	N_OD_vs_N_BL	Normal ocular dark vs normal blind light	N_OD vs N_BL	primary	physiological_reference	N_OD	N_BL	TRUE	TRUE	up			TYRP1	Direct local gene symbol: TYRP1	salmon_tx2gene_or_nfcore	direct_local_symbol	protein_coding	2	7543031	7631892	-					TYRP1 / ENSSMAG00000010205
ENSSMAG00000003250	52.9636468545244	3.50447004462908	0.527011425439913	6.64970411543504	2.93682807419199e-11	4.4299114671112e-08	soul5	N_OD_vs_N_BL	Normal ocular dark vs normal blind light	N_OD vs N_BL	primary	physiological_reference	N_OD	N_BL	TRUE	TRUE	up			soul5	Direct local gene symbol: soul5	salmon_tx2gene_or_nfcore	direct_local_symbol	protein_coding	19	14188847	14190538	-					soul5 / ENSSMAG00000003250
