gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_name	contrast	label	short_label	priority	contrast_class	numerator	denominator	significant	significant_lfc	direction	log2FoldChange_shrunken	lfcSE_shrunken	best_gene_name	best_description	annotation_source	annotation_confidence	gene_biotype	seqname	start	end	strand	orthology_symbol	orthology_species	orthology_source	orthology_confidence	display_label
ENSSMAG00000008209	777.030371171096	3.35893604662293	0.630697194153931	5.3257507370536	1.00536923636251e-07	9.70181313089822e-05	mybpc2a	P_BD_vs_P_OD	Pseudoalbino: superficie ciega oscura vs superficie ocular oscura	Pseudoalbino: ciega oscura vs ocular oscura	bridge	color_matched_surface_test	P_BD	P_OD	TRUE	TRUE	up			mybpc2a	Direct local gene symbol: mybpc2a	salmon_tx2gene_or_nfcore	direct_local_symbol	protein_coding	19	16829375	16880203	+					mybpc2a / ENSSMAG00000008209
ENSSMAG00000016974	40220.3681881405	3.05825010508675	0.650411443233089	4.70202382953886	2.57595428009196e-06	0.000829162991740385	atp2a1l	P_BD_vs_P_OD	Pseudoalbino: superficie ciega oscura vs superficie ocular oscura	Pseudoalbino: ciega oscura vs ocular oscura	bridge	color_matched_surface_test	P_BD	P_OD	TRUE	TRUE	up			atp2a1l	Direct local gene symbol: atp2a1l	salmon_tx2gene_or_nfcore	direct_local_symbol	protein_coding	18	12502493	12516160	-					atp2a1l / ENSSMAG00000016974
ENSSMAG00000013960	10375.5178852501	2.90641867047774	0.618139059173239	4.70188483860747	2.57770878261259e-06	0.000829162991740385	casq1a	P_BD_vs_P_OD	Pseudoalbino: superficie ciega oscura vs superficie ocular oscura	Pseudoalbino: ciega oscura vs ocular oscura	bridge	color_matched_surface_test	P_BD	P_OD	TRUE	TRUE	up			casq1a	Direct local gene symbol: casq1a	salmon_tx2gene_or_nfcore	direct_local_symbol	protein_coding	7	17401374	17410572	+					casq1a / ENSSMAG00000013960
ENSSMAG00000014093	1126.29030150319	2.91359730360893	0.639564202354878	4.55559784753596	5.22367920469992e-06	0.00126021260813385	gatm	P_BD_vs_P_OD	Pseudoalbino: superficie ciega oscura vs superficie ocular oscura	Pseudoalbino: ciega oscura vs ocular oscura	bridge	color_matched_surface_test	P_BD	P_OD	TRUE	TRUE	up			gatm	Direct local gene symbol: gatm	salmon_tx2gene_or_nfcore	direct_local_symbol	protein_coding	5	8466638	8470578	-					gatm / ENSSMAG00000014093
ENSSMAG00000006257	2224.5189579312	2.5470570582265	0.599161466477355	4.25103615758435	2.1278380929077e-05	0.00410672751931186	ENSSMAG00000006257	P_BD_vs_P_OD	Pseudoalbino: superficie ciega oscura vs superficie ocular oscura	Pseudoalbino: ciega oscura vs ocular oscura	bridge	color_matched_surface_test	P_BD	P_OD	TRUE	TRUE	up			prr33	proline rich 33 [Source:ZFIN;Acc:ZDB-GENE-030131-5326]	ensembl_rest_display_name	medium_ensembl_rest_symbol	protein_coding	10	4048859	4052098	-					prr33 / ENSSMAG00000006257
ENSSMAG00000016387	68804.2100399937	2.58872830405515	0.632856438430942	4.09054589137697	4.30359042269738e-05	0.00692160792983828	TPM1	P_BD_vs_P_OD	Pseudoalbino: superficie ciega oscura vs superficie ocular oscura	Pseudoalbino: ciega oscura vs ocular oscura	bridge	color_matched_surface_test	P_BD	P_OD	TRUE	TRUE	up			TPM1	Direct local gene symbol: TPM1	salmon_tx2gene_or_nfcore	direct_local_symbol	protein_coding	10	13328241	13339340	+					TPM1 / ENSSMAG00000016387
ENSSMAG00000021113	4357.22930659667	2.55535755866618	0.658611755841834	3.87991489067779	0.000104493021545152	0.0126044707238839	myom2a	P_BD_vs_P_OD	Pseudoalbino: superficie ciega oscura vs superficie ocular oscura	Pseudoalbino: ciega oscura vs ocular oscura	bridge	color_matched_surface_test	P_BD	P_OD	TRUE	TRUE	up			myom2a	Direct local gene symbol: myom2a	salmon_tx2gene_or_nfcore	direct_local_symbol	protein_coding	8	1534000	1554679	-					myom2a / ENSSMAG00000021113
ENSSMAG00000005085	4458.99015417276	2.30491426122698	0.59096866087321	3.90023094933877	9.61009706477344e-05	0.0126044707238839	myoz1b	P_BD_vs_P_OD	Pseudoalbino: superficie ciega oscura vs superficie ocular oscura	Pseudoalbino: ciega oscura vs ocular oscura	bridge	color_matched_surface_test	P_BD	P_OD	TRUE	TRUE	up			myoz1b	Direct local gene symbol: myoz1b	salmon_tx2gene_or_nfcore	direct_local_symbol	protein_coding	18	16987376	16996619	-					myoz1b / ENSSMAG00000005085
ENSSMAG00000004446	14310.3355859054	2.61118992780705	0.704488553412946	3.70650440685935	0.000210139581431764	0.0165087344735499	ENSSMAG00000004446	P_BD_vs_P_OD	Pseudoalbino: superficie ciega oscura vs superficie ocular oscura	Pseudoalbino: ciega oscura vs ocular oscura	bridge	color_matched_surface_test	P_BD	P_OD	TRUE	TRUE	up			ENSSMAG00000004446	No functional description available from local Salmon/GTF annotation	local_gtf_id_only	low_unannotated_id_only	protein_coding	2	3536106	3560381	-					ENSSMAG00000004446
ENSSMAG00000000804	3697.16883812638	2.26439373345035	0.600446922394524	3.77118051404139	0.000162477082195129	0.0165087344735499	hsc70	P_BD_vs_P_OD	Pseudoalbino: superficie ciega oscura vs superficie ocular oscura	Pseudoalbino: ciega oscura vs ocular oscura	bridge	color_matched_surface_test	P_BD	P_OD	TRUE	TRUE	up			hsc70	Direct local gene symbol: hsc70	salmon_tx2gene_or_nfcore	direct_local_symbol	protein_coding	1	22396476	22401881	-					hsc70 / ENSSMAG00000000804
