gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_name	contrast	label	short_label	priority	contrast_class	numerator	denominator	significant	significant_lfc	direction	log2FoldChange_shrunken	lfcSE_shrunken	best_gene_name	best_description	annotation_source	annotation_confidence	gene_biotype	seqname	start	end	strand	orthology_symbol	orthology_species	orthology_source	orthology_confidence	display_label
ENSSMAG00000036716	5786.80231125875	-3.12118651913341	0.486281127098427	-6.41848170780779	1.37640141865489e-10	1.97554895619536e-06	ENSSMAG00000036716	P_OL_vs_N_OD	Pseudoalbino: superficie ocular clara vs Normal: superficie ocular oscura	Pseudoalbino: ocular clara vs Normal: ocular oscura	secondary	abnormal_vs_expected	P_OL	N_OD	TRUE	TRUE	down			ENSSMAG00000036716	No functional description available from local Salmon/GTF annotation	local_gtf_id_only	low_unannotated_id_only	protein_coding	11	4686760	4708736	-					ENSSMAG00000036716
ENSSMAG00000015984	1254.0713994376	-3.98624650807196	0.668316672999067	-5.96460730237913	2.45223078354934e-09	1.75984342181419e-05	ENSSMAG00000015984	P_OL_vs_N_OD	Pseudoalbino: superficie ocular clara vs Normal: superficie ocular oscura	Pseudoalbino: ocular clara vs Normal: ocular oscura	secondary	abnormal_vs_expected	P_OL	N_OD	TRUE	TRUE	down			ENSSMAG00000015984	No functional description available from local Salmon/GTF annotation	local_gtf_id_only	low_unannotated_id_only	protein_coding	3	3484024	3493639	+					ENSSMAG00000015984
ENSSMAG00000036554	2206.26128794792	-4.49561978261023	0.844825524324001	-5.32135885241803	1.02995006663662e-07	0.000295657466128707	ENSSMAG00000036554	P_OL_vs_N_OD	Pseudoalbino: superficie ocular clara vs Normal: superficie ocular oscura	Pseudoalbino: ocular clara vs Normal: ocular oscura	secondary	abnormal_vs_expected	P_OL	N_OD	TRUE	TRUE	down			ENSSMAG00000036554	No functional description available from local Salmon/GTF annotation	local_gtf_id_only	low_unannotated_id_only	protein_coding	11	19325082	19329616	+					ENSSMAG00000036554
ENSSMAG00000031332	408.471077597456	-4.4100567737171	0.827713340779532	-5.32800011361874	9.93000620730715e-08	0.000295657466128707	ENSSMAG00000031332	P_OL_vs_N_OD	Pseudoalbino: superficie ocular clara vs Normal: superficie ocular oscura	Pseudoalbino: ocular clara vs Normal: ocular oscura	secondary	abnormal_vs_expected	P_OL	N_OD	TRUE	TRUE	down			ENSSMAG00000031332	No functional description available from local Salmon/GTF annotation	local_gtf_id_only	low_unannotated_id_only	lncRNA	13	14019318	14032971	-					ENSSMAG00000031332
ENSSMAG00000029313	126.038132622321	-3.4913989624109	0.649425445146105	-5.37613514916315	7.61016776005373e-08	0.000295657466128707	ENSSMAG00000029313	P_OL_vs_N_OD	Pseudoalbino: superficie ocular clara vs Normal: superficie ocular oscura	Pseudoalbino: ocular clara vs Normal: ocular oscura	secondary	abnormal_vs_expected	P_OL	N_OD	TRUE	TRUE	down			ENSSMAG00000029313	No functional description available from local Salmon/GTF annotation	local_gtf_id_only	low_unannotated_id_only	protein_coding	3	16210088	16213144	-					ENSSMAG00000029313
ENSSMAG00000014583	868.850932697924	-3.67279624237112	0.751445655365905	-4.88764053148023	1.02051646035314e-06	0.00202108754987845	ENSSMAG00000014583	P_OL_vs_N_OD	Pseudoalbino: superficie ocular clara vs Normal: superficie ocular oscura	Pseudoalbino: ocular clara vs Normal: ocular oscura	secondary	abnormal_vs_expected	P_OL	N_OD	TRUE	TRUE	down			ENSSMAG00000014583	No functional description available from local Salmon/GTF annotation	local_gtf_id_only	low_unannotated_id_only	protein_coding	9	23919709	23960517	-					ENSSMAG00000014583
ENSSMAG00000004685	56.4050992049906	-3.58731395242984	0.73689536905969	-4.86814560526741	1.12650319786997e-06	0.00202108754987845	acmsd	P_OL_vs_N_OD	Pseudoalbino: superficie ocular clara vs Normal: superficie ocular oscura	Pseudoalbino: ocular clara vs Normal: ocular oscura	secondary	abnormal_vs_expected	P_OL	N_OD	TRUE	TRUE	down			acmsd	Direct local gene symbol: acmsd	salmon_tx2gene_or_nfcore	direct_local_symbol	protein_coding	14	6227857	6232335	-					acmsd / ENSSMAG00000004685
ENSSMAG00000002991	528.533360402527	-3.44084936163452	0.701108029306593	-4.90773064607116	9.21362720912342e-07	0.00202108754987845	ENSSMAG00000002991	P_OL_vs_N_OD	Pseudoalbino: superficie ocular clara vs Normal: superficie ocular oscura	Pseudoalbino: ocular clara vs Normal: ocular oscura	secondary	abnormal_vs_expected	P_OL	N_OD	TRUE	TRUE	down			ENSSMAG00000002991	No functional description available from local Salmon/GTF annotation	local_gtf_id_only	low_unannotated_id_only	protein_coding	2	2812534	2851874	-					ENSSMAG00000002991
ENSSMAG00000024651	368.089758987126	-2.38742844481347	0.512067937164078	-4.66232753809088	3.12653064707529e-06	0.00498612159749684	ENSSMAG00000024651	P_OL_vs_N_OD	Pseudoalbino: superficie ocular clara vs Normal: superficie ocular oscura	Pseudoalbino: ocular clara vs Normal: ocular oscura	secondary	abnormal_vs_expected	P_OL	N_OD	TRUE	TRUE	down			ENSSMAG00000024651	No functional description available from local Salmon/GTF annotation	local_gtf_id_only	low_unannotated_id_only	protein_coding	6	26723370	26731589	+					ENSSMAG00000024651
ENSSMAG00000000432	71.5560314085065	-2.7276049826354	0.589880011880501	-4.62399967400143	3.76410456068154e-06	0.0054026192759462	cpa1	P_OL_vs_N_OD	Pseudoalbino: superficie ocular clara vs Normal: superficie ocular oscura	Pseudoalbino: ocular clara vs Normal: ocular oscura	secondary	abnormal_vs_expected	P_OL	N_OD	TRUE	TRUE	down			cpa1	Direct local gene symbol: cpa1	salmon_tx2gene_or_nfcore	direct_local_symbol	protein_coding	10	1480176	1485168	+					cpa1 / ENSSMAG00000000432
