gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_name	contrast	label	short_label	priority	contrast_class	numerator	denominator	significant	significant_lfc	direction	log2FoldChange_shrunken	lfcSE_shrunken	best_gene_name	best_description	annotation_source	annotation_confidence	gene_biotype	seqname	start	end	strand	orthology_symbol	orthology_species	orthology_source	orthology_confidence	display_label
ENSSMAG00000012712	247.4890968039965	8.393266353048144	0.7706839741084027	10.890671968050508	1.2769457222986098e-27	1.926144927515223e-23	ENSSMAG00000012712	N_OD_vs_N_BL	Normal ocular dark vs normal blind light	N_OD vs N_BL	primary	physiological_reference	N_OD	N_BL	TRUE	TRUE	up	NA	NA	tyrp1b	Ensembl REST display name: tyrp1b	ensembl_rest_display_name	medium_ensembl_rest_symbol	protein_coding	8	12291681	12297330	-	NA	NA	NA	NA	tyrp1b / ENSSMAG00000012712
ENSSMAG00000017854	745.2413780861938	8.328944415257748	1.0478081254224147	7.948921384723951	1.8814239320694778e-15	1.4189699295667998e-11	ENSSMAG00000017854	N_OD_vs_N_BL	Normal ocular dark vs normal blind light	N_OD vs N_BL	primary	physiological_reference	N_OD	N_BL	TRUE	TRUE	up	NA	NA	ENSSMAG00000017854	No functional description available from local Salmon/GTF annotation	local_gtf_id_only	low_unannotated_id_only	protein_coding	7	7815857	7817842	+	NA	NA	NA	NA	ENSSMAG00000017854
ENSSMAG00000009625	81.51308346695821	4.548965065821336	0.5821733203221321	7.813764229704431	5.550487719949248e-15	2.790785225590482e-11	tmem130	N_OD_vs_N_BL	Normal ocular dark vs normal blind light	N_OD vs N_BL	primary	physiological_reference	N_OD	N_BL	TRUE	TRUE	up	NA	NA	tmem130	Direct local gene symbol: tmem130	salmon_tx2gene_or_nfcore	direct_local_symbol	protein_coding	18	9967612	9972658	-	NA	NA	NA	NA	tmem130 / ENSSMAG00000009625
ENSSMAG00000018926	490.8221294606204	9.574772811386184	1.2911368028615198	7.415769413563159	1.2092072496009332e-13	4.559920538245119e-10	ENSSMAG00000018926	N_OD_vs_N_BL	Normal ocular dark vs normal blind light	N_OD vs N_BL	primary	physiological_reference	N_OD	N_BL	TRUE	TRUE	up	NA	NA	si:dkey-251i10.2	Ensembl REST display name: si:dkey-251i10.2	ensembl_rest_display_name	medium_ensembl_rest_symbol	protein_coding	9	15563010	15566637	-	NA	NA	NA	NA	si:dkey-251i10.2 / ENSSMAG00000018926
ENSSMAG00000003556	131.6368312552409	3.628359343201295	0.4988635778754674	7.273249650041702	3.5094087743804313e-13	9.554843046428496e-10	KIF5B	N_OD_vs_N_BL	Normal ocular dark vs normal blind light	N_OD vs N_BL	primary	physiological_reference	N_OD	N_BL	TRUE	TRUE	up	NA	NA	KIF5B	Direct local gene symbol: KIF5B	salmon_tx2gene_or_nfcore	direct_local_symbol	protein_coding	21	10135679	10152047	-	NA	NA	NA	NA	KIF5B / ENSSMAG00000003556
ENSSMAG00000030081	96.16652142988794	3.0932101975731774	0.4259166986185058	7.262476929423634	3.8006535586429994e-13	9.554843046428496e-10	ENSSMAG00000030081	N_OD_vs_N_BL	Normal ocular dark vs normal blind light	N_OD vs N_BL	primary	physiological_reference	N_OD	N_BL	TRUE	TRUE	up	NA	NA	ENSSMAG00000030081	No functional description available from local Salmon/GTF annotation	local_gtf_id_only	low_unannotated_id_only	protein_coding	15	19229766	19235838	+	NA	NA	NA	NA	ENSSMAG00000030081
ENSSMAG00000009108	50.2348617730764	7.060717851688262	1.0021063543905284	7.045876738285452	1.8429734829210344e-12	3.971344573768698e-9	RGS2	N_OD_vs_N_BL	Normal ocular dark vs normal blind light	N_OD vs N_BL	primary	physiological_reference	N_OD	N_BL	TRUE	TRUE	up	NA	NA	RGS2	Direct local gene symbol: RGS2	salmon_tx2gene_or_nfcore	direct_local_symbol	protein_coding	7	15635622	15637261	-	NA	NA	NA	NA	RGS2 / ENSSMAG00000009108
ENSSMAG00000004209	324.85524767170347	7.1418676689731075	1.0208833642728474	6.995772405459953	2.6380148235463585e-12	4.973976949796659e-9	ENSSMAG00000004209	N_OD_vs_N_BL	Normal ocular dark vs normal blind light	N_OD vs N_BL	primary	physiological_reference	N_OD	N_BL	TRUE	TRUE	up	NA	NA	ENSSMAG00000004209	No functional description available from local Salmon/GTF annotation	local_gtf_id_only	low_unannotated_id_only	protein_coding	6	15240349	15246971	-	NA	NA	NA	NA	ENSSMAG00000004209
ENSSMAG00000010205	51.94504390914982	5.288776254524004	0.7918334131504958	6.679152668591442	2.403277032587717e-11	4.027892306617013e-8	TYRP1	N_OD_vs_N_BL	Normal ocular dark vs normal blind light	N_OD vs N_BL	primary	physiological_reference	N_OD	N_BL	TRUE	TRUE	up	NA	NA	TYRP1	Direct local gene symbol: TYRP1	salmon_tx2gene_or_nfcore	direct_local_symbol	protein_coding	2	7543031	7631892	-	NA	NA	NA	NA	TYRP1 / ENSSMAG00000010205
ENSSMAG00000003250	52.96364685452442	3.5044700446290764	0.527011425439913	6.649704115435041	2.9368280741919934e-11	4.4299114671112034e-8	soul5	N_OD_vs_N_BL	Normal ocular dark vs normal blind light	N_OD vs N_BL	primary	physiological_reference	N_OD	N_BL	TRUE	TRUE	up	NA	NA	soul5	Direct local gene symbol: soul5	salmon_tx2gene_or_nfcore	direct_local_symbol	protein_coding	19	14188847	14190538	-	NA	NA	NA	NA	soul5 / ENSSMAG00000003250
