gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_name	contrast	label	short_label	priority	contrast_class	numerator	denominator	significant	significant_lfc	direction	log2FoldChange_shrunken	lfcSE_shrunken	best_gene_name	best_description	annotation_source	annotation_confidence	gene_biotype	seqname	start	end	strand	orthology_symbol	orthology_species	orthology_source	orthology_confidence	display_label
ENSSMAG00000020424	284.570509411153	-3.54990219214686	0.39694358231838	-8.94309002658106	3.78437213185303e-19	4.53897593494453e-15	mpx	P_BD_vs_P_BL	Pseudoalbino blind dark vs pseudoalbino blind light	P_BD vs P_BL	primary	pseudoalbino_within_surface	P_BD	P_BL	TRUE	TRUE	down			mpx	Direct local gene symbol: mpx	salmon_tx2gene_or_nfcore	direct_local_symbol	protein_coding	16	8153217	8159084	-					mpx / ENSSMAG00000020424
ENSSMAG00000013103	465.595073828505	-3.07627863389996	0.399777135398578	-7.69498393356815	1.41511954645951e-14	8.48647192011768e-11	ENSSMAG00000013103	P_BD_vs_P_BL	Pseudoalbino blind dark vs pseudoalbino blind light	P_BD vs P_BL	primary	pseudoalbino_within_surface	P_BD	P_BL	TRUE	TRUE	down			ENSSMAG00000013103	No functional description available from local Salmon/GTF annotation	local_gtf_id_only	low_unannotated_id_only	protein_coding	22	1036127	1048283	+					ENSSMAG00000013103
ENSSMAG00000005426	73.6261818516824	-4.46472576959548	0.691992341074034	-6.4519872613992	1.10392860471079e-10	4.41350656163375e-07	irg1l	P_BD_vs_P_BL	Pseudoalbino blind dark vs pseudoalbino blind light	P_BD vs P_BL	primary	pseudoalbino_within_surface	P_BD	P_BL	TRUE	TRUE	down			irg1l	Direct local gene symbol: irg1l	salmon_tx2gene_or_nfcore	direct_local_symbol	protein_coding	13	14632544	14635742	-					irg1l / ENSSMAG00000005426
ENSSMAG00000033283	427.575483355582	-2.54808113018126	0.418261973543929	-6.09206978246527	1.11460074575605e-09	3.34213033614951e-06	ENSSMAG00000033283	P_BD_vs_P_BL	Pseudoalbino blind dark vs pseudoalbino blind light	P_BD vs P_BL	primary	pseudoalbino_within_surface	P_BD	P_BL	TRUE	TRUE	down			ENSSMAG00000033283	No functional description available from local Salmon/GTF annotation	local_gtf_id_only	low_unannotated_id_only	protein_coding	2	6497804	6506728	-					ENSSMAG00000033283
ENSSMAG00000030879	396.129850972222	-1.74135314352309	0.316209517088486	-5.50695994085404	3.65083294436006e-08	8.75761806693092e-05	ENSSMAG00000030879	P_BD_vs_P_BL	Pseudoalbino blind dark vs pseudoalbino blind light	P_BD vs P_BL	primary	pseudoalbino_within_surface	P_BD	P_BL	TRUE	TRUE	down			ENSSMAG00000030879	No functional description available from local Salmon/GTF annotation	local_gtf_id_only	low_unannotated_id_only	protein_coding	11	16725912	16731533	-					ENSSMAG00000030879
ENSSMAG00000015210	115.213061561661	-3.12615614474927	0.577361228987739	-5.41455849092987	6.14401173273752e-08	0.000122818794537423	anxa3a	P_BD_vs_P_BL	Pseudoalbino blind dark vs pseudoalbino blind light	P_BD vs P_BL	primary	pseudoalbino_within_surface	P_BD	P_BL	TRUE	TRUE	down			anxa3a	Direct local gene symbol: anxa3a	salmon_tx2gene_or_nfcore	direct_local_symbol	protein_coding	9	24583557	24588663	-					anxa3a / ENSSMAG00000015210
ENSSMAG00000012262	144.476127646245	-2.09376016953473	0.407883102831743	-5.13323585850634	2.84802633488345e-07	0.000379546976228802	ENSSMAG00000012262	P_BD_vs_P_BL	Pseudoalbino blind dark vs pseudoalbino blind light	P_BD vs P_BL	primary	pseudoalbino_within_surface	P_BD	P_BL	TRUE	TRUE	down			ENSSMAG00000012262	No functional description available from local Salmon/GTF annotation	local_gtf_id_only	low_unannotated_id_only	protein_coding	1	9366914	9374549	-					ENSSMAG00000012262
ENSSMAG00000016186	373.31180008216	-1.95780934058712	0.378204131418492	-5.17659427263303	2.25972893692447e-07	0.000379546976228802	ca15b	P_BD_vs_P_BL	Pseudoalbino blind dark vs pseudoalbino blind light	P_BD vs P_BL	primary	pseudoalbino_within_surface	P_BD	P_BL	TRUE	TRUE	down			ca15b	Direct local gene symbol: ca15b	salmon_tx2gene_or_nfcore	direct_local_symbol	protein_coding	18	12211313	12235284	+					ca15b / ENSSMAG00000016186
ENSSMAG00000014539	1539.38019852736	-1.46363399327734	0.283919269843518	-5.15510621763723	2.53487201137133e-07	0.000379546976228802	ppl	P_BD_vs_P_BL	Pseudoalbino blind dark vs pseudoalbino blind light	P_BD vs P_BL	primary	pseudoalbino_within_surface	P_BD	P_BL	TRUE	TRUE	down			ppl	Direct local gene symbol: ppl	salmon_tx2gene_or_nfcore	direct_local_symbol	protein_coding	19	651850	675627	+					ppl / ENSSMAG00000014539
ENSSMAG00000015980	325.128389763839	-2.56052101852354	0.508933938011904	-5.03114614153251	4.87556314470638e-07	0.000584775043576083	ENSSMAG00000015980	P_BD_vs_P_BL	Pseudoalbino blind dark vs pseudoalbino blind light	P_BD vs P_BL	primary	pseudoalbino_within_surface	P_BD	P_BL	TRUE	TRUE	down			ENSSMAG00000015980	No functional description available from local Salmon/GTF annotation	local_gtf_id_only	low_unannotated_id_only	protein_coding	12	1544149	1559159	+					ENSSMAG00000015980
